 knee_pos_x, knee_pos_y, time
3.58488,52.77089,0.09810
3.58207,52.77027,0.19701
3.57316,52.74208,0.29466
3.57136,52.68462,0.39292
3.57279,52.57639,0.49127
3.57268,52.36192,0.59025
3.55678,52.05257,0.68867
3.54914,51.86177,0.78658
3.54546,51.66453,0.88529
3.53960,51.52836,0.98369
3.54222,51.48751,1.08202
3.54913,51.41925,1.18043
3.55002,51.38478,1.27877
3.54754,51.40243,1.37713
3.55735,51.37973,1.47573
3.56103,51.40092,1.57351
3.55373,51.40728,1.67250
3.55737,51.40918,1.77071
3.55117,51.43075,1.86898
3.54982,51.38823,1.96987
3.54577,51.27047,2.06821
3.54016,51.08114,2.16652
3.53431,50.71634,2.26478
3.54832,50.10290,2.36335
3.57845,49.56887,2.46159
3.61038,49.15666,2.55938
3.67221,48.58500,2.65821
3.68617,48.46950,2.75632
3.67838,48.51185,2.85505
3.67149,48.50355,2.95274
3.66864,48.50107,3.05161
3.66782,48.57732,3.14972
3.64389,48.95020,3.24769
3.60745,49.53106,3.34598
3.59008,49.99932,3.44434
3.57970,50.33580,3.54351
3.57421,50.66774,3.64133
3.57493,51.01932,3.74014
3.58378,51.32080,3.83820
3.58602,51.48824,3.93689
3.58652,51.58047,4.03486
3.58732,51.58714,4.13361
3.58556,51.58914,4.23159
3.58570,51.61074,4.33047
3.59511,51.61722,4.42887
3.61238,51.67517,4.52719
3.61318,51.86755,4.62551
3.60108,52.10027,4.72635
3.58773,52.30308,4.82469
3.57531,52.44092,4.92291
3.57197,52.44728,5.02135
3.57100,52.44218,5.11937
3.56886,52.44065,5.21812
3.56904,52.44020,5.31655
3.56929,52.44706,5.41486
3.57064,52.58212,5.51248
3.58743,52.88864,5.61144
3.62367,53.31659,5.70998
3.65583,53.63398,5.80833
3.66858,53.75019,5.90666
3.66930,53.75006,6.00506
3.67497,53.78502,6.10250
3.67136,53.81651,6.20082
3.66395,53.80495,6.29992
3.65917,53.76649,6.39797
3.65115,53.66395,6.49625
3.63806,53.48618,6.59471
3.62205,53.28586,6.69347
3.60216,53.10676,6.79174
3.58735,52.92003,6.89014
3.58351,52.83601,6.98851
3.58622,52.81080,7.08688
3.58727,52.78924,7.18533
3.58505,52.77577,7.28368
3.57994,52.71573,7.38446
3.57413,52.55072,7.48274
3.56290,52.32622,7.58116
3.55624,52.11886,7.67956
3.55396,52.03566,7.77730
3.55509,51.98970,7.87601
3.55407,51.98291,7.97431
3.55571,51.98087,8.07265
3.55410,51.95926,8.17134
3.54948,51.91078,8.26921
3.54320,51.86123,8.36726
3.54016,51.80437,8.46638
3.53478,51.74531,8.56475
3.52785,51.58759,8.66311
3.51544,51.31628,8.76143
3.51725,51.07388,8.85978
3.52196,50.79117,8.95767
3.54208,50.27935,9.05559
3.57280,49.83180,9.15388
3.58988,49.55754,9.25301
3.61048,49.15326,9.35144
3.61837,48.96898,9.44919
3.61469,48.97669,9.54807
3.61143,48.95801,9.64652
3.60526,48.94540,9.74487
3.60669,48.90662,9.84321
3.60967,48.85299,9.94159
3.59742,49.03290,10.03977
3.55976,49.44387,10.13851
3.53215,50.08516,10.23883
3.37035,50.71155,10.33760
3.47107,51.14446,10.43595
3.50630,51.45634,10.53428
3.52136,51.60590,10.63255
3.53347,51.65077,10.73104
3.54370,51.69923,10.82941
3.54241,51.73477,10.92729
3.54497,51.78043,11.02567
3.54516,51.77313,11.12445
3.53058,51.72194,11.22217
3.52045,51.44758,11.32054
3.51148,51.02227,11.41970
3.52236,50.36968,11.51711
3.56065,49.62090,11.61625
3.58337,49.03227,11.71462
3.61047,48.44968,11.81301
3.66449,48.19790,11.91082
3.67480,48.19237,12.00862
3.67953,48.11371,12.10707
3.68364,48.06911,12.20633
3.68729,48.07673,12.30397
3.68262,48.07902,12.40255
3.65305,48.00971,12.50091
3.60001,48.66791,12.59954
3.54520,49.48837,12.69816
3.52510,50.09851,12.79649
3.51200,50.42155,12.89705
3.36229,50.63747,12.99548
3.46785,50.89124,13.09410
3.50184,51.03037,13.19224
3.51066,51.04411,13.29077
3.51651,51.06923,13.38907
3.51652,51.07677,13.48747
3.51343,51.10003,13.58588
3.50495,51.07201,13.68419
3.34432,50.76960,13.78251
3.46823,50.36388,13.88095
3.52246,49.81516,13.97916
3.57210,49.25855,14.07717
3.60503,48.63656,14.17516
3.67523,48.24697,14.27430
3.69219,48.20709,14.37275
3.69283,48.19513,14.47108
3.69923,48.17054,14.56956
3.70462,48.13516,14.66786
3.70081,48.18055,14.76614
3.66251,48.48116,14.86353
3.56583,49.03335,14.96191
