 knee_pos_x, knee_pos_y, time
5.57097,46.44563,0.08293
5.59004,46.52569,0.18061
5.57631,46.54971,0.27898
5.54077,46.43791,0.37833
5.57601,46.52337,0.47626
5.62359,46.70301,0.57737
5.68270,47.14190,0.67576
5.75244,47.60257,0.77407
5.77890,47.76877,0.87218
5.79673,47.76963,0.97065
5.80142,48.01489,1.06895
5.77409,47.89247,1.16730
5.65725,46.86174,1.26595
5.52631,46.69952,1.36450
5.49324,46.65086,1.46285
5.49736,46.30726,1.56118
5.67051,46.30918,1.65945
5.79095,46.28175,1.75796
5.87005,46.18253,1.85620
5.88747,46.17376,1.95462
5.89387,46.19213,2.05287
5.90574,46.19764,2.15121
5.90025,46.22029,2.24970
5.88584,46.22709,2.34696
5.85845,46.22913,2.44645
5.82301,46.25774,2.54479
5.78739,46.29432,2.64321
5.76751,46.30530,2.74149
5.75412,46.28059,2.83990
5.75190,46.30118,2.93711
5.74862,46.27935,3.03543
5.74759,46.27281,3.13374
5.74948,46.27084,3.23308
5.75392,46.27025,3.33364
5.75001,46.27008,3.43222
5.75064,46.27002,3.53052
5.72420,46.24201,3.62891
5.64999,46.13560,3.72729
5.60156,46.33468,3.82575
5.62116,46.62540,3.92416
6.03779,46.82462,4.02249
6.08062,46.75139,4.12075
5.85429,46.69442,4.21929
5.67861,46.75432,4.31764
5.45981,46.77230,4.41587
5.14173,46.79869,4.51436
4.88531,46.74361,4.61270
4.73033,46.37708,4.71102
4.63357,46.07112,4.80941
4.67831,45.86034,4.90786
4.69009,45.72010,5.00614
4.70157,45.60103,5.10451
4.69443,45.64231,5.20220
4.71990,45.70369,5.30127
4.75234,45.72211,5.39958
4.77702,45.75563,5.49790
4.78690,45.79369,5.59637
4.78585,45.77711,5.69463
4.79706,45.77213,5.79185
4.77954,45.74264,5.89018
4.77873,45.66379,5.98841
4.77500,45.64014,6.09022
4.76812,45.63304,6.18860
4.73459,45.53991,6.28695
4.70631,45.43497,6.38518
4.53686,45.27049,6.48344
4.08531,45.50815,6.58193
3.64598,45.98544,6.68003
3.34493,45.79963,6.77897
3.07466,46.19189,6.87726
2.94116,46.68057,6.97564
2.86883,46.77117,7.07403
2.81495,46.30835,7.17238
2.96573,46.40751,7.27074
3.12451,46.54925,7.36915
3.24277,46.64778,7.46748
3.32516,46.67733,7.56590
3.38772,46.68620,7.66408
3.43726,46.70986,7.76258
3.47857,46.73796,7.86094
3.50584,46.74639,7.95922
3.51970,46.72792,8.05660
3.52804,46.74337,8.15594
3.66219,46.72701,8.25452
3.57426,46.72210,8.35281
3.56041,46.66463,8.45114
3.55108,46.64739,8.54946
3.55161,46.64222,8.64779
3.54995,46.64067,8.74493
3.54938,46.64020,8.84642
3.54890,46.61906,8.94509
3.55348,46.63372,9.04332
3.55255,46.61712,9.14137
3.55069,46.61213,9.24017
3.56006,46.58964,9.33859
3.54810,46.54089,9.43672
3.59185,46.39327,9.53517
3.82928,46.50998,9.63380
4.13072,46.52399,9.73149
4.50398,46.54920,9.83052
4.58294,46.84376,9.92904
4.65676,47.01613,10.02725
4.80634,47.06784,10.12560
4.95011,46.86635,10.22395
5.09326,46.70091,10.32235
5.20659,46.57427,10.42070
5.32255,46.50128,10.51907
5.48291,46.43738,10.61738
5.57383,46.29222,10.71581
5.63072,46.20666,10.81406
5.66699,46.16000,10.91149
5.71297,46.09000,11.00982
5.77387,45.95000,11.10871
5.83992,45.81000,11.20725
5.91160,45.69100,11.30599
5.97695,45.54330,11.40429
6.01400,45.49899,11.50256
6.08347,45.46470,11.60341
6.08467,45.42641,11.70120
6.09737,45.41492,11.79950
6.10224,45.39048,11.89820
6.10498,45.38314,11.99640
6.12255,45.38094,12.09499
6.12746,45.38028,12.19331
6.11479,45.38008,12.29168
6.05640,45.45003,12.38977
5.93907,45.68101,12.48858
5.81508,45.90430,12.58694
5.68201,46.06929,12.68531
5.59072,46.30779,12.78367
5.53681,46.37934,12.88201
5.45969,46.30280,12.98036
5.37167,46.26584,13.07881
5.28080,46.54175,13.17710
5.18092,46.77853,13.27531
5.04815,46.84956,13.37392
4.95781,46.69587,13.47225
4.89107,46.48176,13.57061
4.81800,46.55753,13.66893
4.72572,46.60826,13.76745
4.70592,46.62348,13.86443
4.74937,46.60004,13.96323
4.80524,46.49501,14.06237
4.83021,46.42150,14.16073
4.84568,46.39945,14.25902
4.84783,46.39284,14.35979
4.84856,46.41185,14.45806
4.84937,46.39656,14.55598
4.85524,46.41297,14.65427
4.86596,46.43889,14.75311
4.88140,46.46767,14.85127
4.92325,46.58130,14.94983
4.98757,46.72039,15.04814
5.08435,46.80412,15.14647
5.23186,46.63324,15.24490
5.36344,46.51897,15.34326
5.45002,46.44269,15.44180
5.51483,46.44081,15.54014
5.56008,46.44024,15.63841
5.53948,46.46107,15.73677
5.54488,46.46732,15.83530
5.54959,46.50420,15.93376
5.55387,46.48026,16.03195
5.54645,46.50808,16.13035
5.52560,46.46042,16.22878
5.47813,46.46713,16.32706
5.40340,46.46914,16.42535
5.30125,46.41374,16.52384
5.14322,46.67012,16.62234
4.99206,46.70504,16.71934
4.88911,46.54751,16.81895
4.80895,46.52825,16.91715
4.90258,46.43148,17.01796
5.05983,46.42344,17.11634
5.24083,46.54003,17.21464
5.33260,46.66601,17.31310
5.37997,46.78780,17.41077
5.35613,46.87334,17.50907
5.26814,46.86400,17.60796
5.20914,46.88220,17.70629
5.18462,46.83166,17.80435
5.18299,46.77450,17.90285
5.18250,46.75735,18.00114
5.17783,46.73120,18.09954
5.18198,46.76536,18.19799
5.17762,46.75461,18.29661
5.16955,46.75138,18.39494
5.16332,46.75041,18.49323
5.16789,46.77112,18.59164
5.16023,46.77734,18.68994
5.16066,46.75820,18.78841
5.16897,46.75246,18.88672
5.17891,46.75074,18.98514
5.19333,46.75022,19.08358
5.19518,46.77107,19.18168
5.13698,46.73532,19.28016
4.99915,46.80860,19.37860
4.89508,46.90058,19.47692
4.72405,46.90717,19.57524
4.56012,46.72015,19.67234
4.50718,46.55205,19.77189
4.49059,46.48061,19.87277
4.48743,46.41718,19.97114
4.45592,46.39816,20.06937
4.43312,46.43445,20.16764
4.40873,46.42433,20.26577
4.38592,46.40030,20.36385
4.38610,46.39309,20.46221
4.43050,46.41193,20.56087
4.45638,46.39658,20.65910
4.42708,46.41297,20.75772
4.41352,46.39689,20.85606
4.42395,46.39207,20.95379
4.41285,46.39062,21.05255
4.40294,46.41119,21.15091
4.41805,46.39636,21.24922
4.38102,46.39191,21.34803
4.18482,46.35557,21.44641
3.74278,46.42167,21.54478
3.56465,46.79150,21.64317
3.63685,46.78345,21.74155
3.64285,46.62004,21.84006
3.67216,46.45901,21.93845
3.73790,46.45270,22.03656
3.85897,46.48581,22.13495
4.04965,46.49574,22.23316
4.24775,46.37972,22.33161
4.42188,46.38692,22.42998
4.51892,46.36808,22.52711
4.69902,46.28542,22.62671
4.84348,46.33763,22.72747
4.97173,46.49329,22.82576
5.09202,46.60999,22.92415
5.18376,46.59600,23.02248
5.22599,46.49380,23.12084
5.24254,46.46314,23.21853
5.24921,46.43294,23.31688
5.25808,46.40288,23.41557
5.28401,46.35186,23.51409
5.32773,46.29456,23.61216
5.36509,46.27737,23.71079
5.39125,46.27221,23.80920
5.39245,46.24266,23.90736
5.39495,46.26180,24.00578
5.39676,46.26754,24.10447
5.39868,46.26926,24.20268
5.39401,46.26978,24.30129
5.35892,46.27693,24.39960
5.28785,46.37708,24.49793
5.21071,46.47712,24.59629
5.11809,46.60514,24.69452
5.04581,46.72754,24.79303
4.97642,46.76426,24.89134
4.88371,46.67028,24.98974
4.77664,46.45308,25.08807
4.66252,46.49993,25.18657
4.56076,46.59098,25.28469
4.50231,46.63929,25.38309
4.44696,46.46479,25.48337
4.44070,46.58044,25.58230
4.43070,46.65713,25.68063
4.42781,46.68014,25.77904
4.43706,46.70804,25.87734
4.44666,46.73741,25.97574
4.46258,46.76722,26.07371
4.47825,46.79717,26.17166
4.49180,46.84115,26.27023
4.49333,46.85435,26.36897
4.49345,46.85830,26.46703
4.49867,46.85949,26.56569
4.50256,46.85985,26.66388
4.50580,46.85995,26.76243
4.50565,46.85999,26.86072
4.51537,46.88100,26.95930
4.52051,46.86630,27.05761
4.51486,46.86189,27.15604
4.50675,46.86057,27.25404
4.52649,46.86017,27.35277
4.59907,46.88105,27.45107
4.84323,46.88732,27.54951
5.08861,46.77019,27.64782
5.11637,46.71406,27.74618
5.07711,46.65522,27.84458
4.99806,46.76357,27.94295
4.94066,46.86607,28.04122
4.81688,46.89682,28.14198
4.62845,46.77305,28.24041
4.55941,46.56791,28.33815
4.56161,46.46437,28.43709
4.56965,46.43331,28.53545
4.56908,46.42399,28.63356
4.50927,46.40020,28.73212
4.40322,46.27406,28.83054
4.35540,46.18022,28.92882
4.36208,46.01207,29.02652
4.30035,45.98262,29.12483
4.28000,45.95279,29.22331
4.22836,46.08384,29.32211
4.15058,46.20015,29.42021
4.12667,46.25605,29.51843
4.13002,46.25181,29.61720
4.12222,46.22954,29.71553
4.11717,46.24386,29.81388
4.09478,46.26916,29.91250
4.00066,46.25575,30.01080
3.72916,46.23072,30.10919
3.19127,46.61522,30.20759
3.12195,46.59057,30.30590
3.31484,46.76517,30.40415
3.46394,46.77555,30.50250
3.53667,46.65967,30.60101
3.57532,46.49190,30.69932
3.63724,46.37857,30.79767
3.74434,46.40757,30.89594
3.89370,46.45827,30.99634
4.05137,46.50848,31.09492
4.18586,46.52354,31.19324
4.47617,46.61906,31.29122
4.50847,46.80172,31.39019
4.50590,46.82852,31.48853
4.56962,46.68955,31.58649
4.68843,46.54287,31.68511
4.79264,46.45686,31.78361
4.87598,46.50106,31.88125
4.93962,46.54232,31.97958
4.99290,46.62470,32.07850
5.02678,46.64941,32.17685
5.04890,46.67782,32.27494
5.06233,46.68635,32.37359
5.09022,46.68890,32.47186
5.15708,46.66867,32.56999
5.20412,46.53660,32.66855
5.28282,46.35698,32.76725
5.40242,46.26809,32.86569
5.49063,46.22043,32.96391
5.60352,46.08713,33.06233
5.78674,45.92814,33.16073
5.95673,45.59344,33.25900
6.13552,45.47203,33.35741
6.32797,45.54761,33.45591
6.62319,45.36028,33.55411
6.94678,44.94708,33.65239
7.12018,44.84413,33.75076
7.17397,44.84124,33.85155
7.18713,44.75637,33.94989
7.19402,44.73091,34.04826
7.18948,44.68827,34.14605
7.19047,44.76648,34.24497
7.19129,44.81794,34.34331
7.20112,44.71438,34.44173
7.10481,44.62732,34.54009
6.95341,44.74819,34.63845
6.81603,44.95946,34.73609
6.67197,45.12784,34.83434
6.52712,45.27635,34.93264
6.43633,45.29991,35.03167
6.38769,45.22997,35.13001
6.37618,45.15999,35.22842
6.41134,45.08300,35.32674
6.31059,45.29090,35.42484
6.16089,45.55627,35.52319
6.05209,45.76888,35.62208
5.96955,45.87466,35.72051
5.88251,45.92740,35.81878
5.81206,46.02022,35.91713
5.75370,46.12507,36.01554
5.72221,46.27552,36.11388
5.67362,46.46766,36.21223
5.60688,46.56730,36.31058
5.56234,46.59719,36.40886
5.53910,46.62716,36.50954
5.51787,46.72715,36.60801
5.48609,46.77814,36.70598
5.47037,46.74444,36.80475
5.46294,46.76233,36.90322
5.46102,46.76770,37.00077
5.44314,46.72031,37.09987
5.37466,46.39109,37.19825
5.21612,46.55833,37.29654
