 knee_pos_x, knee_pos_y, time
4.51391,47.09000,0.07961
4.51608,47.09000,0.17810
4.51167,47.09000,0.27566
4.51437,47.06900,0.37477
4.51275,47.04170,0.47310
4.51674,47.03351,0.57110
4.52274,47.05205,0.66985
4.50939,47.05762,0.76819
4.49927,47.05928,0.86653
4.53831,47.08079,0.96496
4.60484,47.15724,1.06328
4.65897,47.20117,1.16170
4.72790,47.25635,1.25885
4.78661,47.29391,1.35851
4.81797,47.32617,1.45673
4.83445,47.36385,1.55507
4.84291,47.34716,1.65338
4.87412,47.32115,1.75177
4.94938,47.25034,1.84955
5.09535,47.16610,1.95029
5.17529,47.11283,2.04871
5.18287,47.12485,2.14714
5.14822,47.14945,2.24576
5.11417,47.17784,2.34398
5.11907,47.18635,2.44243
5.14059,47.16791,2.54071
5.13974,47.16237,2.63907
5.10971,47.18171,2.73738
5.03653,47.22951,2.83610
4.89299,47.33485,2.93435
4.81476,47.31746,3.03284
4.66876,47.24924,3.13113
4.57518,47.16577,3.22959
4.54555,47.04973,3.32760
4.41622,46.90292,3.42666
4.17083,46.90788,3.52467
3.92604,46.86036,3.62305
3.74606,46.82511,3.72138
3.74949,46.81453,3.81973
3.80248,46.86036,3.91783
3.82954,46.87411,4.01652
3.81805,46.87823,4.11475
3.79830,46.85147,4.21206
3.79871,46.84344,4.31153
3.80092,46.84103,4.40992
3.82478,46.86831,4.50749
3.88104,46.87649,4.60896
3.97447,46.87895,4.70733
4.13714,46.83068,4.80542
4.40556,47.01221,4.90345
4.46976,47.15766,5.00181
4.63357,47.24330,5.10063
4.72976,47.28999,5.19873
4.77213,47.35300,5.29700
4.78875,47.37190,5.39550
4.79467,47.39857,5.49416
4.79477,47.38557,5.59242
4.79549,47.38167,5.69090
4.79998,47.38050,5.78942
4.80371,47.40115,5.88765
4.81828,47.40735,5.98594
4.86941,47.36020,6.08441
4.94603,47.28306,6.18245
5.10164,47.19692,6.28113
5.17990,47.10108,6.37951
5.21096,47.14232,6.47788
5.35086,47.13370,6.57616
5.51177,47.15211,6.67454
5.61447,47.15763,6.77294
5.72205,47.13829,6.87133
5.84386,47.04149,6.96965
5.94739,46.94945,7.06696
6.01483,46.84483,7.16515
6.05073,46.79245,7.26409
6.06685,46.74874,7.36294
6.06124,46.76362,7.46378
6.05934,46.84509,7.56224
5.99672,46.91153,7.66049
5.94109,46.97346,7.75835
5.87320,47.03404,7.85659
5.75099,47.12221,7.95493
5.49391,47.21166,8.05377
5.22133,47.28050,8.15177
4.97340,47.41315,8.25049
4.76314,47.34094,8.34888
4.49022,47.12328,8.44725
4.26608,47.09999,8.54559
4.04027,47.03000,8.64393
3.77555,46.99500,8.74246
3.53552,47.18750,8.84080
3.38129,47.21725,8.93920
3.23401,47.22617,9.03723
3.03217,47.13085,9.13555
2.92327,47.19326,9.23426
2.74904,47.16998,9.33261
2.32202,47.33799,9.43085
2.21205,47.31840,9.52947
2.42294,47.18652,9.62760
2.63236,47.14696,9.72609
2.71114,47.13509,9.82432
2.73963,47.15253,9.92275
2.73439,47.15776,10.02040
2.78292,47.15933,10.11940
2.87892,47.04780,10.22021
3.06544,47.15434,10.31854
3.26636,47.25630,10.41688
3.53111,47.15389,10.51528
3.84657,47.10917,10.61330
4.33266,47.24275,10.71136
4.56373,47.31083,10.80966
4.73824,47.42925,10.90855
4.88143,47.39477,11.00688
5.04517,47.31443,11.10495
5.35517,47.22733,11.20339
5.52892,47.22220,11.30199
5.64426,47.12966,11.40037
5.75249,47.03890,11.49839
5.84140,46.99067,11.59730
5.90286,46.93420,11.69549
5.93779,46.89626,11.79399
5.91884,46.92688,11.89231
5.86005,46.95706,11.98983
5.80034,47.00812,12.08877
5.75299,47.04444,12.18681
5.71295,47.10433,12.28555
5.67074,47.14330,12.38390
5.59749,47.15499,12.48265
5.53151,47.15850,12.58084
5.48258,47.15955,12.67919
5.41449,47.15986,12.77777
5.34321,47.18096,12.87584
5.26306,47.14529,12.97295
5.18480,47.15559,13.07494
5.15313,47.15868,13.17322
5.13946,47.18060,13.27160
5.13838,47.16618,13.36998
5.15151,47.16185,13.46846
5.15004,47.16056,13.56605
5.14311,47.16017,13.66442
5.14200,47.16005,13.76329
5.13821,47.16002,13.86160
5.12367,47.18100,13.95962
5.04644,47.29230,14.05839
5.00420,47.37469,14.15674
4.94242,47.98741,14.25507
4.79141,47.47122,14.35348
4.33947,47.14137,14.45134
4.09698,47.28041,14.55046
3.73235,47.20312,14.64872
3.44537,47.17994,14.74709
3.14254,46.92098,14.84542
2.95719,47.01829,14.94382
2.90495,47.11749,15.04185
2.80352,47.09825,15.14062
2.79354,47.14147,15.23883
2.82814,47.13344,15.33726
2.85205,47.10303,15.43560
2.86650,47.09391,15.53397
2.90855,47.09117,15.63228
2.90788,47.09035,15.73059
2.90455,47.11811,15.83085
2.87507,47.12643,15.92991
2.85284,47.12893,16.02808
2.86455,47.10168,16.12629
2.86515,47.07250,16.22484
2.86619,47.06375,16.32315
2.88051,47.04013,16.42149
2.88628,47.03304,16.51924
2.94032,46.98891,16.61749
2.98715,46.98267,16.71642
3.04106,47.07180,16.81455
3.13452,47.14054,16.91315
3.24259,47.18216,17.01152
3.38108,47.19465,17.10982
3.51436,47.19839,17.20822
3.59808,47.17852,17.30661
3.69583,47.17256,17.40516
3.74432,47.16377,17.50299
3.76579,47.20313,17.60190
3.78785,47.25694,17.70023
3.81962,47.41308,17.79864
3.83793,47.48792,17.89633
3.86471,47.47538,17.99527
3.86640,47.45061,18.09375
3.87409,47.49918,18.19220
3.87001,47.45776,18.29043
3.84824,47.44533,18.38872
3.83803,47.35060,18.48704
3.84786,47.12618,18.58764
3.88616,46.99585,18.68560
3.97935,46.99876,18.78459
4.11365,47.04163,18.88297
4.28715,47.14549,18.98119
4.59818,47.44965,19.07964
4.71198,47.54789,19.17805
4.78190,47.52837,19.27639
4.82633,47.49451,19.37398
4.80807,47.47735,19.47238
4.81741,47.45121,19.57129
4.83057,47.44336,19.66970
4.83438,47.44101,19.76764
4.82749,47.44030,19.86638
4.82334,47.44009,19.96461
4.82614,47.44003,20.06308
4.82997,47.44001,20.16141
4.83015,47.44000,20.25997
4.83223,47.44000,20.35811
4.83471,47.44000,20.45671
4.83716,47.44000,20.55514
4.82790,47.44000,20.65344
4.82855,47.44000,20.75177
4.83399,47.41900,20.84938
4.83913,47.43370,20.94852
4.83586,47.43811,21.04642
4.84041,47.43943,21.14517
4.84026,47.43983,21.24366
4.83824,47.43995,21.34430
4.84166,47.43998,21.44264
4.84049,47.44000,21.54099
4.86247,47.41900,21.63872
4.92252,47.36370,21.73773
5.21286,47.26311,21.83606
5.34645,47.21193,21.93435
5.44772,47.17558,22.03257
5.58641,47.11567,22.13096
5.64458,47.05570,22.22942
5.67306,47.05871,22.32715
5.76366,47.03861,22.42548
5.96017,46.85058,22.52477
6.18762,46.64018,22.62239
6.29793,46.55605,22.72110
6.33467,46.57282,22.81919
6.34503,46.61984,22.91711
6.33918,46.67595,23.01605
6.37398,46.68579,23.11481
6.41039,46.70974,23.21325
6.44516,46.73792,23.31153
6.46148,46.74638,23.40990
6.45296,46.74891,23.50784
6.41988,46.74967,23.60658
6.32140,46.76390,23.70493
6.19049,46.84517,23.80291
6.06006,46.95355,23.90167
5.89632,47.14007,23.99983
5.78968,47.27302,24.10073
5.76405,47.35491,24.19898
5.71255,47.42147,24.29741
5.72429,47.46244,24.39588
5.72027,47.47473,24.49367
5.72940,47.47842,24.59190
5.73957,47.47953,24.69085
5.73665,47.47986,24.78924
5.73402,47.47996,24.88766
5.73230,47.47999,24.98601
5.73137,47.48000,25.08432
5.72805,47.83000,25.18195
5.47635,47.50100,25.28021
5.18845,47.51430,25.37858
5.12705,48.06429,25.47758
4.82759,47.80229,25.57564
4.55688,47.66769,25.67451
4.45361,47.56431,25.77258
4.31596,47.43529,25.87099
4.23087,48.22259,25.96939
4.16994,48.86478,26.06761
3.89596,47.63643,26.16635
3.66908,47.30993,26.26469
3.53377,47.28198,26.36301
3.43690,47.22459,26.46130
3.32460,47.14438,26.55976
3.26026,47.09931,26.65807
3.35124,47.06479,26.75641
3.20440,47.00544,26.85683
3.06976,46.91763,26.95555
2.99700,46.95429,27.05386
2.95946,46.96529,27.15230
2.95080,47.03159,27.25065
2.89803,47.07248,27.34908
2.85710,47.06374,27.44663
2.83251,47.06112,27.54571
2.94556,47.01834,27.64405
2.97627,47.02650,27.74239
2.99278,47.02895,27.84079
2.87577,47.05069,27.93910
2.84008,47.03621,28.03665
2.82622,47.03186,28.13495
2.82742,47.03056,28.23360
2.84012,47.03017,28.33237
2.84076,47.05105,28.43036
2.85307,47.07832,28.52884
2.84602,47.13549,28.62712
2.82581,47.13165,28.72552
2.85491,47.10249,28.82393
2.96224,46.97475,28.92271
3.09453,47.04842,29.02120
3.17832,47.13353,29.11948
3.24807,47.20106,29.21783
3.33438,47.22132,29.31624
3.41731,47.20640,29.41446
3.50514,47.18092,29.51193
3.58742,47.15228,29.61351
3.67473,47.12268,29.71201
3.70806,47.13480,29.81025
3.83957,47.50944,29.90867
3.84992,47.39083,30.00704
3.91175,47.76125,30.10540
3.92400,47.83037,30.20384
3.86684,47.40311,30.30143
3.71704,47.21893,30.40051
3.57912,47.18468,30.49844
3.44205,47.21640,30.59727
3.27112,47.14192,30.69565
3.17099,47.07758,30.79394
3.11327,47.00927,30.89203
3.04945,46.92578,30.98975
3.01576,46.99873,31.08813
2.95766,47.09062,31.18729
2.86787,47.13919,31.28532
2.81737,47.17476,31.38383
2.80724,47.18543,31.48237
2.80574,47.16763,31.58051
2.80214,47.14129,31.67878
2.80483,47.15439,31.77734
2.78577,47.17932,31.87600
2.80265,47.18679,31.97729
2.81519,47.16804,32.07159
2.80911,47.16241,32.17073
2.81112,47.18172,32.27143
2.81138,47.18752,32.36990
2.81014,47.18926,32.46799
2.80275,47.18978,32.56685
2.76958,47.21093,32.66525
2.83852,47.17528,32.76360
2.99181,47.06658,32.86199
3.11428,47.09698,32.96030
3.15443,47.12709,33.05864
3.27107,47.17813,33.15656
3.22869,47.21444,33.25480
3.29270,47.25333,33.35373
3.39821,47.26500,33.45218
3.49167,47.28950,33.55049
3.54688,47.27585,33.64875
3.56897,47.27175,33.74731
3.57605,47.27053,33.84502
3.57657,47.27016,33.94399
3.57611,47.27005,34.04123
3.57948,47.24201,34.14046
3.58830,47.26160,34.23841
3.58835,47.26748,34.33704
3.60867,47.24124,34.43558
3.66493,47.21237,34.53392
3.77816,47.21771,34.63225
3.91406,47.54831,34.73074
4.15450,47.64749,34.82912
4.21862,47.48125,34.92738
4.26059,47.34037,35.02817
4.33872,47.31911,35.12659
4.39212,47.38273,35.22472
4.41839,47.42282,35.32325
4.41512,47.36485,35.42163
4.40769,47.34745,35.51994
4.40563,47.34224,35.61832
4.41215,47.36867,35.71676
4.41564,47.37660,35.81507
4.41627,47.37898,35.91343
4.44177,47.44969,36.01194
4.52087,47.60391,36.10929
4.69326,47.62917,36.20859
4.90925,47.74875,36.30686
5.05604,47.56063,36.40517
5.11858,47.46219,36.50283
5.18871,47.45366,36.60194
5.40030,47.50010,36.69994
5.61657,47.51403,36.79771
5.68841,47.42721,36.89598
5.79317,47.24016,36.99482
6.00800,47.03005,37.09322
6.20614,46.85501,37.19127
6.33017,46.82350,37.28989
6.38382,46.79305,37.38850
6.39309,46.78392,37.48704
6.39074,46.80217,37.58528
6.38957,46.80765,37.68415
6.39294,46.78830,37.78460
6.38849,46.78249,37.88294
6.36273,46.78075,37.98128
6.28167,46.78022,38.07931
6.15612,46.87107,38.17803
6.01716,46.98232,38.27636
5.91265,47.05770,38.37472
5.85064,47.15031,38.47318
5.83784,47.17809,38.57143
5.86062,47.24243,38.66987
5.91351,47.34573,38.76823
5.94332,47.41872,38.86641
5.94667,47.44062,38.96492
5.93306,47.46818,39.06239
5.96036,47.47646,39.16166
5.90158,47.47894,39.26007
5.82659,47.47968,39.35834
