 knee_pos_x, knee_pos_y, time
4.32504,50.55082,0.02674
4.32218,50.55725,0.12882
4.32264,50.55217,0.22721
4.32607,50.53665,0.32555
4.32318,50.53200,0.42395
4.32538,50.54460,0.52223
4.32494,50.54838,0.62034
4.32727,50.54951,0.71905
4.32355,50.54985,0.81726
4.32496,50.55696,0.91570
4.32353,50.55909,1.01397
4.32801,50.53873,1.11250
4.32816,50.54662,1.21083
4.32619,50.54899,1.30903
4.32723,50.54970,1.40755
4.33079,50.55691,1.50591
4.32894,50.58007,1.60436
4.33178,50.56602,1.70262
4.33153,50.54081,1.80098
4.33018,50.54724,1.89822
4.33030,50.55617,1.99780
4.33162,50.55885,2.09606
4.33292,50.55966,2.19447
4.32941,50.58090,2.29280
4.32964,50.58727,2.39116
4.33234,50.60318,2.48955
4.33116,50.59395,2.58669
4.33035,50.59119,2.68504
4.33005,50.60436,2.78648
4.33076,50.60831,2.88480
4.32850,50.61649,2.98348
4.32774,50.61195,3.08188
4.32997,50.61058,3.18029
4.32953,50.61718,3.27873
4.32989,50.61915,3.37709
4.33150,50.61975,3.47547
4.32998,50.63392,3.57368
4.32856,50.62418,3.67229
4.32975,50.61425,3.77054
4.33132,50.61128,3.86890
4.33084,50.61038,3.96730
4.33239,50.61011,4.06569
4.32944,50.61003,4.16404
4.33026,50.61001,4.26185
4.32866,50.61700,4.36086
4.32677,50.61910,4.45870
4.32862,50.61973,4.55741
4.32787,50.61292,4.65573
4.32968,50.61088,4.75414
4.32751,50.61726,4.85147
4.32674,50.61918,4.95078
4.32852,50.61975,5.04926
4.33019,50.61293,5.14759
4.32945,50.63188,5.24584
4.32560,50.62356,5.34436
4.33030,50.62107,5.44273
4.32887,50.62032,5.53980
4.32904,50.62010,5.64114
4.33174,50.61303,5.73978
4.33071,50.61091,5.83802
4.33268,50.61727,5.93661
4.32839,50.61918,6.03501
4.32888,50.61975,6.13319
4.33148,50.61293,6.23176
