 knee_pos_x, knee_pos_y, time
5.19620,50.42287,0.04670
5.20198,50.44186,0.14506
5.21047,50.44756,0.24341
5.20051,50.42127,0.34174
5.18870,50.39938,0.44013
5.17470,50.39281,0.53848
5.19928,50.41184,0.63639
5.24347,50.53655,0.73519
5.31418,50.49697,0.83352
5.39911,50.45709,0.93201
5.44869,50.44513,1.03027
5.46386,50.44154,1.12767
5.45623,50.41946,1.22692
5.40760,50.51784,1.32538
5.31982,50.60335,1.42374
5.25825,50.56601,1.52213
5.22886,50.51980,1.62052
5.19783,50.47094,1.71882
5.18143,50.45628,1.81608
5.17356,50.45188,1.91437
5.17487,50.42957,2.01379
5.17779,50.42287,2.11156
5.17978,50.44186,2.21011
5.18157,50.42656,2.31101
5.18013,50.42197,2.40948
5.17998,50.42059,2.50780
5.18012,50.42018,2.60616
5.17021,50.42005,2.70458
5.11446,50.45502,2.80291
4.96395,50.56350,2.90148
4.81235,50.45605,2.99983
4.61717,50.43082,3.09821
4.40276,50.46524,3.19645
4.29796,50.43357,3.29487
4.25897,50.42407,3.39332
4.27698,50.45622,3.49121
4.29924,50.46587,3.59007
4.29656,50.46876,3.68824
4.30352,50.46963,3.78678
4.30528,50.45589,3.88508
4.32906,50.50777,3.98342
4.42006,50.52333,4.08088
4.62167,50.49300,4.18005
4.76917,50.53990,4.27856
4.85152,50.59597,4.37683
4.89396,50.66179,4.47522
4.88982,50.63254,4.57359
4.87146,50.60276,4.67192
4.83341,50.51683,4.76912
4.78023,50.44905,4.86749
4.75240,50.44971,4.96684
4.74786,50.44991,5.06749
4.73156,50.44997,5.16568
4.71764,50.44999,5.26424
4.69799,50.42900,5.36262
4.64295,50.41570,5.46096
4.53809,50.45371,5.55938
4.47385,50.52111,5.65765
4.50260,50.49233,5.75614
4.57315,50.49770,5.85461
4.64417,50.52031,5.95296
4.74063,50.48509,6.05133
4.80434,50.49553,6.14965
4.81849,50.48466,6.24804
4.80621,50.46040,6.34643
4.77774,50.45312,6.44478
4.72721,50.45094,6.54279
4.70497,50.46428,6.64148
4.69444,50.43328,6.73913
4.67890,50.45899,6.83820
4.66211,50.46670,6.93565
