 knee_pos_x, knee_pos_y, time
6.39873,48.83962,0.07497
6.39774,48.81889,0.17292
6.39594,48.83367,0.27163
6.38739,48.81710,0.36988
6.37522,48.74913,0.46853
6.37887,48.73574,0.56599
6.40984,48.82272,0.66435
6.49552,48.81382,0.76351
6.60495,48.78314,0.86185
6.70014,48.79494,0.96009
6.77298,48.77748,1.05843
6.81316,48.80024,1.15635
6.83583,48.80707,1.25517
6.86007,48.80212,1.35318
6.87721,48.75164,1.45126
6.87125,48.76449,1.54987
6.86058,48.78935,1.64882
6.84574,48.74780,1.74712
6.71272,48.73534,1.84541
6.47959,48.73160,1.94410
6.17466,48.99648,2.04221
5.98647,49.11094,2.14071
5.91328,49.16628,2.23890
5.88361,49.21088,2.33730
5.87020,49.20327,2.43540
5.87357,49.19398,2.53631
5.92086,49.13519,2.63415
5.99374,49.11756,2.73261
6.03504,49.09827,2.83105
6.03352,49.10648,2.92982
6.02503,49.09494,3.02819
6.01203,49.10548,3.12657
6.00772,49.10864,3.22453
6.05283,49.07459,3.32335
6.24515,48.77038,3.42109
6.36182,48.81911,3.51955
6.36504,48.74973,3.61790
6.23608,48.83392,3.71594
6.10997,48.99218,3.81510
6.05028,49.06065,3.91339
6.03646,49.08120,4.01151
6.02917,49.08736,4.10995
6.01802,49.06821,4.20776
6.02674,49.08346,4.30611
6.06731,49.06004,4.40516
6.16642,48.87801,4.50329
6.26118,48.65540,4.60121
6.21830,48.76362,4.70013
6.11172,48.97109,4.79811
6.02162,49.06833,4.89623
5.96642,49.09750,4.99528
5.92939,49.10625,5.09376
5.90450,49.14387,5.19210
5.90743,49.14116,5.29043
5.91568,49.14035,5.38877
5.90651,49.14010,5.48908
5.92178,49.11903,5.58755
6.00660,49.09871,5.68588
6.24672,48.86861,5.78467
6.39389,48.86258,5.88295
6.43147,48.88178,5.98139
6.42909,48.86653,6.07971
6.42729,48.88296,6.17761
6.40956,48.83189,6.27624
6.38709,48.80957,6.37484
6.38210,48.80287,6.47317
6.38313,48.80086,6.57112
6.37738,48.77926,6.66976
6.37138,48.77278,6.76799
6.36471,48.73583,6.86619
6.36226,48.70375,6.96440
6.35489,48.67312,7.06300
6.35065,48.64994,7.16126
6.36275,48.73398,7.25990
6.39515,48.84319,7.35796
6.43003,48.87596,7.45590
6.43819,48.88579,7.55466
6.42828,48.88874,7.65287
6.42323,48.88962,7.75130
6.44280,48.88989,7.84950
6.46950,48.86897,7.94819
6.48729,48.86269,8.04663
6.49606,48.86081,8.14744
6.48752,48.86024,8.24590
6.48614,48.88107,8.34437
6.50110,48.86632,8.44289
6.56798,48.82690,8.54123
6.67389,48.80807,8.63943
6.76338,48.78142,8.73783
6.79286,48.77343,8.83633
6.76988,48.77103,8.93396
6.74319,48.79131,9.03245
6.73716,48.79739,9.13136
6.73955,48.77822,9.22960
6.73649,48.79347,9.32821
6.73622,48.77704,9.42662
6.70932,48.79311,9.52435
6.58600,48.77693,9.62263
6.41769,48.63908,9.72083
6.17441,48.93372,9.81941
6.08551,49.01512,9.91730
6.11196,48.98354,10.01652
6.12888,48.97406,10.11498
6.16205,48.91522,10.21320
6.26118,48.66657,10.31144
6.31640,48.62697,10.40974
6.32984,48.63609,10.50801
6.33376,48.63883,10.60613
6.34036,48.63965,10.70446
6.33330,48.58389,10.80335
6.31637,48.54617,10.90120
6.31125,48.53485,11.00204
6.31668,48.53146,11.10055
6.30854,48.53044,11.19880
6.28544,48.60713,11.29747
6.25594,48.68614,11.39584
6.20363,48.82884,11.49422
6.16066,48.92765,11.59260
6.17929,48.88730,11.69073
6.25401,48.69319,11.78904
6.33539,48.76796,11.88741
